Cut & Type & glim & rlim & zlim & Gold & Silver & LowOII & NoOII & LowZ & NoZ & D2reject & DR3unmatched & DESI & Total & Eff & FoM\\ \hline
FDR & Avg. & -- & -- & -- & 389 & 709 & 151 & 99 & 43 & 394 & 254 & 64 & 1255 & 2103 & 0.597 & --\\ \hline
XD & Proj. & 23.800 & 23.400 & 22.400 & 417 & 999 & 356 & 114 & 10 & 306 & 194 & -- & 1562 & 2400 & 0.651 & 0.474\\ \hline
XD & Avg. & -- & -- & -- & 437 & 1084 & 334 & 101 & 14 & 296 & 153 & 73 & 1655 & 2492 & 0.664 & 0.474\\ \hline
XD & Adap. & 23.550 & 23.400 & 22.400 & 410 & 972 & 356 & 111 & 12 & 317 & 219 & -- & 1528 & 2400 & 0.637 & 0.459\\ \hline
XD & Fid. & -- & -- & -- & 404 & 968 & 341 & 114 & 12 & 317 & 236 & -- & 1520 & 2395 & 0.635 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.150 & 22.400 & 414 & 984 & 356 & 113 & 12 & 323 & 194 & -- & 1548 & 2400 & 0.645 & 0.469\\ \hline
XD & Fid. & -- & -- & -- & 404 & 969 & 347 & 111 & 11 & 306 & 193 & -- & 1517 & 2344 & 0.647 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.400 & 22.150 & 405 & 972 & 355 & 118 & 10 & 298 & 238 & -- & 1524 & 2400 & 0.635 & 0.454\\ \hline
XD & Fid. & -- & -- & -- & 393 & 963 & 342 & 119 & 11 & 288 & 251 & -- & 1500 & 2369 & 0.633 & 0.474\\ \hline
XD & Adap. & 23.675 & 23.400 & 22.400 & 414 & 986 & 356 & 112 & 11 & 311 & 205 & -- & 1546 & 2400 & 0.644 & 0.467\\ \hline
XD & Fid. & -- & -- & -- & 411 & 985 & 349 & 114 & 11 & 311 & 213 & -- & 1543 & 2397 & 0.644 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.275 & 22.400 & 416 & 992 & 356 & 114 & 11 & 314 & 194 & -- & 1555 & 2400 & 0.648 & 0.471\\ \hline
XD & Fid. & -- & -- & -- & 411 & 985 & 352 & 113 & 11 & 306 & 193 & -- & 1542 & 2374 & 0.649 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.400 & 22.275 & 412 & 986 & 356 & 116 & 10 & 303 & 214 & -- & 1544 & 2400 & 0.644 & 0.465\\ \hline
XD & Fid. & -- & -- & -- & 406 & 982 & 350 & 117 & 10 & 298 & 219 & -- & 1534 & 2385 & 0.643 & 0.474\\ \hline
XD & Adap. & 23.925 & 23.400 & 22.400 & 421 & 1009 & 355 & 115 & 10 & 302 & 184 & -- & 1576 & 2400 & 0.657 & 0.480\\ \hline
XD & Fid. & -- & -- & -- & 422 & 1011 & 362 & 114 & 10 & 301 & 179 & -- & 1578 & 2402 & 0.657 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.525 & 22.400 & 419 & 1005 & 356 & 114 & 10 & 299 & 194 & -- & 1568 & 2400 & 0.653 & 0.476\\ \hline
XD & Fid. & -- & -- & -- & 423 & 1010 & 359 & 115 & 10 & 306 & 194 & -- & 1579 & 2420 & 0.652 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.400 & 22.525 & 422 & 1010 & 356 & 112 & 10 & 308 & 178 & -- & 1577 & 2400 & 0.657 & 0.482\\ \hline
XD & Fid. & -- & -- & -- & 427 & 1012 & 361 & 111 & 10 & 313 & 174 & -- & 1586 & 2413 & 0.657 & 0.474\\ \hline
XD & Adap. & 24.050 & 23.400 & 22.400 & 423 & 1019 & 354 & 117 & 9 & 298 & 177 & -- & 1587 & 2400 & 0.661 & 0.486\\ \hline
XD & Fid. & -- & -- & -- & 427 & 1021 & 366 & 114 & 9 & 297 & 168 & -- & 1591 & 2405 & 0.662 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.650 & 22.400 & 420 & 1010 & 356 & 114 & 9 & 293 & 194 & -- & 1573 & 2400 & 0.656 & 0.478\\ \hline
XD & Fid. & -- & -- & -- & 427 & 1019 & 362 & 116 & 10 & 306 & 195 & -- & 1593 & 2437 & 0.654 & 0.474\\ \hline
XD & Adap. & 23.800 & 23.400 & 22.650 & 426 & 1020 & 356 & 110 & 10 & 310 & 165 & -- & 1590 & 2400 & 0.663 & 0.489\\ \hline
XD & Fid. & -- & -- & -- & 435 & 1023 & 366 & 109 & 10 & 319 & 159 & -- & 1605 & 2424 & 0.662 & 0.474\\ \hline
